,Age,Industry,Job title,Annual Salary(USDA),Working In,City,Years of Experience,Present Field Experience,Education,Gender,Race
222,35-44,Health care,Content Strategist,50000,United states,Phoenix,11 - 20 years,5-7 years,Master's degree,Woman,White
223,25-34,University administration,Programme Administrator,33160,United kingdom,Glasgow,5-7 years,5-7 years,College degree,Woman,White
224,25-34,Government and Public Administration,Public Service Tech,31616,United states,Too identifiable,5-7 years,2 - 4 years,College degree,Non-binary,White
225,35-44,Government and Public Administration,EOS,95000,United states,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
226,18-24,Business or Consulting,Data Analyst,62000,United states,Braintree,1 year or less,1 year or less,College degree,Woman,White
227,35-44,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,75000,United states,Clinton,11 - 20 years,8 - 10 years,College degree,Woman,White
228,25-34,Education (Primary/Secondary),High school teacher ,71000,United states,New York ,5-7 years,5-7 years,College degree,Non-binary,White
229,45-54,Computing or Tech,Business Analyst,88000,United states,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
230,25-34,Property or Construction,Assistant to Property Managers,31500,United states,Columbia,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
231,25-34,Health care,IT Training Specialist,76000,United states,Woburn,5-7 years,2 - 4 years,Master's degree,Woman,White
232,35-44,Health care,Principal Statistical Programmer,165000,United states,Boston ,21 - 30 years,21 - 30 years,College degree,Non-binary,White
233,25-34,"Accounting, Banking & Finance",Reporting Analyst ,45760,United states,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
234,25-34,"Marketing, Advertising & PR",Communications Manager,86000,United states,Orlando,5-7 years,5-7 years,College degree,Woman,White
235,25-34,Engineering or Manufacturing,Project Manager,58288,United kingdom,Calgary,5-7 years,5-7 years,Master's degree,Woman,White
236,25-34,Education (Higher Education),Admissions Advisor,56000,United states,Appleton,8 - 10 years,5-7 years,Master's degree,Woman,White
237,25-34,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,67000,United states,Bloomington,8 - 10 years,2 - 4 years,College degree,Woman,White
238,25-34,Law,Associate,125000,United states,Chattanooga,5-7 years,5-7 years,Master's degree,Woman,White
239,25-34,Property or Construction,Assistant Project Manager,55000,United states,Jacksonville,5-7 years,2 - 4 years,College degree,Woman,White
240,35-44,Computing or Tech,Supply chain manager,125000,United states,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
241,25-34,Health care,RN,60000,United states,Memphis,8 - 10 years,2 - 4 years,College degree,Woman,White
242,25-34,Law,Associate,190000,United states,Boston,1 year or less,1 year or less,Master's degree,Woman,White
243,45-54,Utilities & Telecommunications,Land Analyst,60320,United states,Pittsburgh,21 - 30 years,8 - 10 years,Some college,Woman,White
244,35-44,Pharmaceuticals,Regulatory affairs manager ,125000,United states,Durham,5-7 years,2 - 4 years,PhD,Woman,White
245,45-54,Education (Primary/Secondary),teacher,94000,United states,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White
246,25-34,Health care,NP-PHC,73010,United kingdom,Rural Ontario,8 - 10 years,2 - 4 years,Master's degree,Woman,White
247,35-44,Government and Public Administration,Administrative Assistant,49000,United states,Newport,11 - 20 years,11 - 20 years,Some college,Woman,White
248,35-44,Nonprofits,Director of Development,120000,United states,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White
249,25-34,Education (Higher Education),Teaching Assistant,28000,United states,New Brunswick,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
250,55-64,Recruitment or HR,Consultant,135000,United states,"Chicago area mostly, but also the US and Canada",31 - 40 years,31 - 40 years,College degree,Woman,White
251,35-44,Education (Higher Education),Advancement Accounting Assistant,40575,United states,Spokane,8 - 10 years,8 - 10 years,College degree,Woman,White
252,25-34,Nonprofits,Senior monitoring & evaluation adviser ,75500,United states,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman,White
253,25-34,"Marketing, Advertising & PR",Copy supervisor,115000,United states,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
254,35-44,Government and Public Administration,Policy analyst ,70000,United states,Greater Boston area,8 - 10 years,5-7 years,Master's degree,Woman,White
255,25-34,Computing or Tech,Visual Designer,110000,United states,Chicago (remote) ,5-7 years,5-7 years,College degree,Woman,White
256,18-24,Agriculture or Forestry,Engineering Student Trainee,29000,United states,Rapid City,1 year or less,1 year or less,Some college,Woman,White
257,55-64,"Marketing, Advertising & PR",Graphic Designer,61000,United states,Mount Prospect,31 - 40 years,31 - 40 years,College degree,Woman,White
258,55-64,Nonprofits,Information Technology Specialist,47250,United states,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5-7 years,Master's degree,Woman,White
259,35-44,Engineering or Manufacturing,Sr. Piping Designer,96000,United states,St. Paul,11 - 20 years,11 - 20 years,Some college,Man,White
260,35-44,Computing or Tech,Network Managet,291720,Germany,Düsseldorf,21 - 30 years,11 - 20 years,High School,Non-binary,White
261,35-44,Nonprofits,Digital Marketing Specialist,45000,United states,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
262,25-34,Philanthropy,Senior Program Support Associate,72000,United states,Washington,2 - 4 years,2 - 4 years,Master's degree,Woman,White
263,25-34,Government and Public Administration,Editor,78167,United states,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,White
264,25-34,"Accounting, Banking & Finance",Senior Operations Manager,132500,United states,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
265,45-54,Computing or Tech,"IT Manager, Financial Systems",124000,United states,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman,White
266,45-54,"Marketing, Advertising & PR",Sr Analytic Consultant,108000,United states,Minneapolis,21 - 30 years,21 - 30 years,College degree,Man,White
267,35-44,"Accounting, Banking & Finance",Principal Consultant ,110000,United states,Charlotte ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
268,35-44,Education (Higher Education),"Assistant director, communications",83000,United states,Flagstaff,11 - 20 years,5-7 years,Master's degree,Woman,White
269,25-34,Engineering or Manufacturing,Geostructural Design Engineer,110000,United states,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
270,25-34,Education (Higher Education),Student Success Center Coordinator,45000,United states,Carlinville,5-7 years,5-7 years,Master's degree,Woman,White
271,25-34,Government and Public Administration,Editor,91000,United states,Washington,11 - 20 years,5-7 years,PhD,Woman,White
272,35-44,Engineering or Manufacturing,QC Chemistry Manager,117000,United states,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman,White
273,45-54,Insurance,Supervisor ,59000,United states,"Omaha, NE",21 - 30 years,21 - 30 years,Some college,Woman,White
274,35-44,Education (Higher Education),Research administrator ,71697,United states,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,White
275,45-54,Real Estate,Senior Property Manager,90000,United states,Sacramento,31 - 40 years,21 - 30 years,Some college,Woman,White
276,35-44,Education (Higher Education),Director of Alumni Communications,120000,United states,Western Mass,11 - 20 years,11 - 20 years,College degree,Woman,White
277,25-34,Education (Higher Education),Admin Assistant,52000,United states,New York,5-7 years,5-7 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin"
278,25-34,Property or Construction,Administrator,45817,United kingdom,Calgary,8 - 10 years,8 - 10 years,Some college,Woman,White
279,35-44,Transport or Logistics,Executive Administrator ,80000,United states,New York ,21 - 30 years,21 - 30 years,High School,Woman,White
280,25-34,Transport or Logistics,HR Business Partner,56000,United states,Joliet,8 - 10 years,5-7 years,Some college,Woman,White
281,45-54,Engineering or Manufacturing,Product Support Representative,47840,United states,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man,"Asian or Asian American, White"
282,45-54,Consulting,Senior Hazard Mitigation Manager,150000,United states,Plant City,21 - 30 years,11 - 20 years,Master's degree,Woman,White
283,45-54,Computing or Tech,Senior Manager of Customer Enablement,150000,United states,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,White
284,45-54,Environmental Consulting,Senior Consultant,105000,United states,Atlanta,21 - 30 years,21 - 30 years,PhD,Woman,White
285,25-34,"Accounting, Banking & Finance",Equity Analyst,100000,United states,NYC,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
286,35-44,Engineering or Manufacturing,Project Manager-Tech Lead,97500,United states,Lisle,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
287,25-34,"Accounting, Banking & Finance",Operations,100000,United states,Dallas,5-7 years,5-7 years,College degree,Man,White
288,45-54,Health care,Senior Project Specialist,125000,United states,Salem,21 - 30 years,8 - 10 years,College degree,Woman,White
289,35-44,Government and Public Administration,Public Library Director,63000,United states,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
290,25-34,Sales,Business Development Manager ,65750,United kingdom,Remote (live in Nottingham),8 - 10 years,5-7 years,College degree,Woman,White
291,35-44,Archaeology / Cultural Resource Management,Principal Investigator,79000,United states,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
292,25-34,Museum,Museum Technician,52000,United states,Suitland,5-7 years,2 - 4 years,Master's degree,Man,White
293,25-34,Government and Public Administration,Economist,109000,United states,Suitland,5-7 years,5-7 years,Master's degree,Woman,White
294,45-54,Education (Higher Education),Associate professor,71010,United kingdom,London,21 - 30 years,21 - 30 years,PhD,Woman,White
295,45-54,Media & Digital,editor,120000,United states,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American
296,25-34,Education (Higher Education),HR Adviser,53406,United kingdom,London,8 - 10 years,5-7 years,College degree,Woman,White
297,35-44,Public library,Managing Librarian,70000,United states,New York,11 - 20 years,5-7 years,Master's degree,Woman,White
298,35-44,Biotech,"Manager of cGMP Manufacturing, QA, and QC",110000,United states,Rockville,11 - 20 years,11 - 20 years,College degree,Woman,White
299,25-34,Education (Higher Education),Event Officer,43210,United kingdom,Winnipeg,5-7 years,2 - 4 years,College degree,Woman,White
300,25-34,Government and Public Administration,Office Administrator,43210,United kingdom,Toronto,8 - 10 years,5-7 years,Some college,Woman,White
301,18-24,"Accounting, Banking & Finance",Accountant ,45000,United states,Indianapolis ,1 year or less,1 year or less,College degree,Woman,White
302,35-44,Government and Public Administration,Senior Director of Public Policy,70000,United states,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
303,25-34,Recruitment or HR,Talent Management Manager,115000,United states,Boston,5-7 years,5-7 years,College degree,Man,White
304,25-34,Transport or Logistics,Internal Communications Executive ,36622,Ireland,Dublin,2 - 4 years,2 - 4 years,Master's degree,Woman,White
305,35-44,Agriculture or Forestry,Research assistant,17000,United states,North East,11 - 20 years,5-7 years,Master's degree,Non-binary,White
306,25-34,Government and Public Administration,Analyst ,64000,United states,Baltimore ,5-7 years,1 year or less,College degree,Woman,Black or African American
307,55-64,Property or Construction,Accounting Manager,66000,United states,Houston Area,31 - 40 years,21 - 30 years,College degree,Woman,White
308,45-54,Engineering or Manufacturing,Quality Manager ,80000,United states,Pittsburgh ,21 - 30 years,11 - 20 years,College degree,Woman,White
309,25-34,Government and Public Administration,Policy Analyst,78000,United states,NYC,5-7 years,2 - 4 years,Master's degree,Woman,White
310,18-24,Law,Attorney,65000,United states,Minneapolis,2 - 4 years,2 - 4 years,Master's degree,Woman,White
311,65 or over,Health care,RN,110000,United states,Milwaukee,41 years or more,31 - 40 years,Master's degree,Woman,White
312,35-44,"Accounting, Banking & Finance",Bookkeeper self-employed,114400,United states,Charlottesville,21 - 30 years,11 - 20 years,College degree,Woman,White
313,25-34,Recruitment or HR,Senior Recruiter,111500,United states,Idaho Falls,11 - 20 years,11 - 20 years,Master's degree,Woman,White
314,25-34,Education (Higher Education),Assistant Director of Undergraduate Admissions,58300,United states,Washington,5-7 years,2 - 4 years,College degree,Woman,White
315,25-34,Nonprofits,Director of strategic initiatives ,700000,United states,ROCHESTER ,11 - 20 years,5-7 years,College degree,Woman,White
316,35-44,Computing or Tech,Software Engineer,156000,United states,Metro Boston,21 - 30 years,21 - 30 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
317,45-54,Computing or Tech,Agile Coach,130000,United states,Twin cities metro area,11 - 20 years,8 - 10 years,College degree,Woman,White
